transAmount,transCurrency,transDescription,transChannel,cardType,cardNetwork,cardExpDate,cardCompany,city,zipCode,latitude,longitude,deviceType,posPostalCodeType,country,state,posDetails.geoStreet1,posDetails.geoCity,posDetails.geoState,posDetails.geoCountry,posDetails.geoPostalCodeType,posDetails.lat,posDetails.lon,mobileDetails.deviceName,mobileDetails.deviceOS,mobileDetails.deviceNetwork,mobileDetails.appName,mobileDetails.userLat,mobileDetails.userLong,mobileDetails.deviceIP,webDetails.deviceMacAddr,webDetails.deviceIP,webDetails.browser,webDetails.deviceOS,webDetails.hostURL,paymentCard.cardType,paymentCard.cardExpDate,paymentCard.cardNetwork,paymentCard.cardCompany,paymentCard.cardCompanyCountry,paymentCard.cardLimit,paymentCard.cardBalance,customer.customerType,customer.customerAvgSpending,customer.customerRiskScore,customer.custGender,customer.custMaritalStatus,customer.custIncomeLevel,customer.custStreet1,customer.custStreet2,customer.custCity,customer.custState,customer.custCountry,customer.custPostalCode,customer.lat,customer.lon,storePOS.storeName,storePOS.storeRiskScore,storePOS.storeType,dollar_amount,fraud_flag
3148.373643,pound,Vel distinctio delen,MOBILE,debit,visa,22-Aug,Mueller-Mueller,Edmond,73025,35.65283203,-97.47809601,symbian,NoPOS,US,OK,NA,NA,NA,NA,NA,NA,NA,Kurt,symbian,aircel,Sonsing,30.727622,-159.61479,8.8.8.8,NA,NA,NA,NA,NA,debit,22-Aug,visa,Mueller-Mueller,US,405430.1673,87471.16409,regular,4408.430624,0.501167555,Male,Married,Very High,Darrick Dale,637,Edmond,OK,US,73025,35.652832,-97.478096,NA,NA,NA,4143.259714,1
2568.039084,dollar,Voluptatibus non vol,POS,credit,visa,20-Jan,"Frami, Frami and Frami",Clarkston,99403,46.3946228,-117.0644608,POS,Bank,US,WA,Sanford Rue,Clarkston,WA,US,Bank,46.394623,-117.06446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,credit,20-Jan,visa,"Frami, Frami and Frami",US,751934.2058,90193.85018,partner,3392.74969,0.529389335,Male,Other,High,Zieme Walks,860,Norton,VT,US,5907,44.98878,-71.78844,Lowe-Lowe,0.001269106,Ella,2568.039084,1
2834.344553,pound,Corrupti nihil itaqu,WEB,credit,americanexpress,22-Aug,Daniel and Sons,PostFalls,83877,47.71805573,-116.9505539,ub,NoPOS,US,ID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,e5:8e:46:20:35:f4,157.240.0.36,ub,MacOS,www.brice-kozey.name,credit,22-Aug,americanexpress,Daniel and Sons,US,151800.7076,95162.11175,partner,6658.768659,0.05023257,Male,Married,Low,Juana Street,893,PostFalls,ID,US,83877,47.718056,-116.950554,NA,NA,NA,3729.997431,0
2711.427071,pound,Enim porro quaerat. ,MOBILE,debit,mastercard,20-Mar,Fritsch-Fritsch,Spotsylvania,22551,38.20096588,-77.5891571,android,NoPOS,US,VA,NA,NA,NA,NA,NA,NA,NA,Nelle,android,airtel,Viva,25.439331,65.590348,47.52.0.242,NA,NA,NA,NA,NA,debit,20-Mar,mastercard,Fritsch-Fritsch,US,737600.6345,95529.9542,business,6549.566403,0.395297109,Female,Married,Low,Legros Throughway,861,Spotsylvania,VA,US,22551,38.200966,-77.58916,NA,NA,NA,3568.238026,0
143,rupee,Atque et inventore a,MOBILE,prepaid,mastercard,20-Jan,Langworth-Langworth,Marana,85658,32.43673706,-111.2253799,android,NoPOS,US,AZ,NA,NA,NA,NA,NA,NA,NA,Rhianna,android,vodaphone,Bamity,-88.436615,-58.664984,40.118.240.200,NA,NA,NA,NA,NA,prepaid,20-Jan,mastercard,Langworth-Langworth,US,493635.9065,67422.43502,business,7862.513653,0.493555156,Female,Unmarried,Low,Maegan Mews,450,Marana,AZ,US,85658,32.436737,-111.22538,NA,NA,NA,2.19791,0
205,dollar,Et quisquam eos perf,POS,prepaid,mastercard,20-Feb,Hauck-Hauck,Reno,89508,39.52963257,-119.8138046,POS,Other,US,NV,Lowe Ferry,Reno,NV,US,Other,39.529633,-119.813805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prepaid,20-Feb,mastercard,Hauck-Hauck,US,617564.6375,5363.429352,regular,3023.125656,0.102753367,Female,Married,Low,Von Point,662,Lafayette,LA,US,70500,30.22409,-92.019844,"Zulauf, Zulauf and Zulauf",0.057071058,Corrine,205,0
2006.709178,dollar,Blanditiis neque ut.,MOBILE,credit,mastercard,22-Sep,"Aufderhar, Aufderhar and Aufderhar",Alta,83414,43.75388718,-111.0361099,symbian,NoPOS,US,WY,NA,NA,NA,NA,NA,NA,NA,Harrison,symbian,airtel,Span,51.006043,95.530907,107.154.105.1,NA,NA,NA,NA,NA,credit,22-Sep,mastercard,"Aufderhar, Aufderhar and Aufderhar",US,680343.0442,53168.97871,priority,5911.889136,0.49571221,Male,Other,High,Leon Haven,450,Alta,WY,US,83414,43.753887,-111.03611,NA,NA,NA,2006.709178,0
81,rupee,Libero laudantium in,POS,prepaid,mastercard,20-Sep,Swaniawski Group,Springfield,65899,37.1493988,-93.25019836,POS,Other,US,MO,Darlene Dale,Springfield,MO,US,Other,37.1494,-93.2502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prepaid,20-Sep,mastercard,Swaniawski Group,US,329465.7308,27424.18855,business,3050.559389,0.399957743,Female,Married,Very High,Kayden Shore,192,Edmond,OK,US,73025,35.652832,-97.478096,"Zboncak, Zboncak and Zboncak",0.288189884,Lucius,1.24497,0
2030.32617,rupee,Et doloremque ut et ,MOBILE,debit,americanexpress,19-Dec,"Hoeger, Hoeger and Hoeger",RoundRock,78665,30.508255,-97.67889404,ubuntu,NoPOS,US,TX,NA,NA,NA,NA,NA,NA,NA,Alta,ubuntu,aircel,Redhold,-4.8339077,167.76521,64.145.76.239,NA,NA,NA,NA,NA,debit,19-Dec,americanexpress,"Hoeger, Hoeger and Hoeger",US,225848.4036,78734.49116,priority,4516.387984,0.386419597,Female,Married,High,Victoria Station,230,RoundRock,TX,US,78665,30.508255,-97.678894,NA,NA,NA,31.20611323,0
3155.29491,pound,Accusantium libero p,MOBILE,credit,mastercard,18-Apr,Senger Inc,Warroad,56763,48.91114426,-95.35384369,windows,NoPOS,US,MN,NA,NA,NA,NA,NA,NA,NA,Roel,windows,aircel,Zontrax,71.375072,86.306368,107.154.105.1,NA,NA,NA,NA,NA,credit,18-Apr,mastercard,Senger Inc,US,349871.0794,13223.25533,partner,4650.529779,0.462563832,Male,Unmarried,High,Dickens Club,39,Warroad,MN,US,56763,48.911144,-95.35384,NA,NA,NA,4152.368101,0
1572.007423,yen,Excepturi et dolorib,MOBILE,debit,mastercard,21-Dec,"Schulist, Schulist and Schulist",Rolla,67954,37.1088829,-101.6446838,symbian,NoPOS,US,KS,NA,NA,NA,NA,NA,NA,NA,Harley,symbian,aircel,Mat Lam Tam,59.412707,175.03212,157.240.0.36,NA,NA,NA,NA,NA,debit,21-Dec,mastercard,"Schulist, Schulist and Schulist",US,924819.3051,86786.17818,partner,7854.367137,0.043482711,Female,Married,Very High,Halvorson Neck,537,Rolla,KS,US,67954,37.108883,-101.644684,NA,NA,NA,13.81008521,0
2840.019355,yen,Ad sapiente doloremq,WEB,credit,visa,18-Dec,Sporer Group,Atlanta,39901,33.8871994,-84.28970337,firefox,NoPOS,US,GA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ae:c8:a4:c8:a2:37,96.43.110.81,firefox,Other,www.lurline-rodriguez.net,credit,18-Dec,visa,Sporer Group,US,910730.622,43714.66444,business,6656.482779,0.224465655,Male,Unmarried,Low,Jaskolski Divide,794,Atlanta,GA,US,39901,33.8872,-84.2897,NA,NA,NA,24.94957003,0
570,dollar,Blanditiis tenetur c,WEB,prepaid,visa,22-Oct,Mraz and Sons,WestFarmington,4992,44.66277695,-70.15583038,opera,NoPOS,US,ME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97:75:22:73:8f:54,96.43.110.81,opera,Windows,www.rhoda-denesik.co,prepaid,22-Oct,visa,Mraz and Sons,US,444468.6533,52862.13845,regular,7778.90066,0.491135588,Male,Other,Very High,Goyette Spur,695,WestFarmington,ME,US,4992,44.662777,-70.15583,NA,NA,NA,570,0
2476.410983,rupee,Hic iure voluptate v,POS,debit,mastercard,17-Nov,"Champlin, Champlin and Champlin",Spearfish,57799,44.49083328,-103.8588867,POS,Other,US,SD,Gleichner Inlet,Spearfish,SD,US,Other,44.490833,-103.85889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,debit,17-Nov,mastercard,"Champlin, Champlin and Champlin",US,964402.3194,28605.4842,regular,4455.359,0.511771774,Female,Married,High,Hansen Island,875,WestFarmington,ME,US,4992,44.662777,-70.15583,Kertzmann-Kertzmann,0.181372626,Whitney,38.06243681,1
2673.187252,rupee,Quisquam et quam. En,WEB,credit,americanexpress,19-May,"Hessel, Hessel and Hessel",FortMill,29707,35.00737,-80.94507599,firefox,NoPOS,US,SC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,de:66:ef:ef:14:12,107.154.105.1,firefox,Solaris,www.kendall-ebert.name,credit,19-May,americanexpress,"Hessel, Hessel and Hessel",US,846769.3268,34676.56383,regular,4185.790677,0.275204147,Female,Unmarried,Low,Hartmann Ports,271,FortMill,SC,US,29707,35.00737,-80.945076,NA,NA,NA,41.08688807,0
2977.670084,rupee,Eaque qui dolorum es,MOBILE,credit,mastercard,22-Jun,Schmeler-Schmeler,FortMill,29707,35.00737,-80.94507599,windows,NoPOS,US,SC,NA,NA,NA,NA,NA,NA,NA,Isaiah,windows,vodaphone,Mat Lam Tam,-60.032025,93.972435,104.24.104.181,NA,NA,NA,NA,NA,credit,22-Jun,mastercard,Schmeler-Schmeler,US,375925.297,15487.71168,partner,7011.906117,0.091629208,Female,Other,High,General Way,692,FortMill,SC,US,29707,35.00737,-80.945076,NA,NA,NA,45.76678918,0
